192.168.0.236 BIEEBIEE_航友_生产集群
172.17.2.6 dcs-taskdcs-task_大连_生产集群-手工重启
172.17.61.5 dcs-taskdcs-task_兰州_生产集群-手工重启
172.17.61.6 dcs-taskdcs-task_兰州_生产集群-手工重启
172.17.128.5 dcs-taskdcs-task_潍坊_生产集群-手工重启
172.17.127.5 dcs-taskdcs-task_丽江_生产集群-手工重启
192.168.187.82 dcs-taskdcs-task_台北_生产集群-手工重启
192.168.187.83 dcs-taskdcs-task_台北_生产集群-手工重启
172.17.59.5 dcs-taskdcs-task_柳州_生产集群-手工重启
172.17.59.6 dcs-taskdcs-task_柳州_生产集群-手工重启
172.17.9.5 PXYPXY_石家庄_生产集群(未接优维)
172.17.9.6 PXYPXY_石家庄_生产集群(未接优维)
192.168.191.126 dcs-api-jpn-clientdcs-api-jpn-client_电信_生产集群
192.168.191.126 dcs-api-kor-clientdcs-api-kor-client_电信_生产集群
192.168.191.126 dcs-cust-clientdcs-cust-client_电信_生产集群
192.168.191.126 dcs-web-userdcs-web-user_电信_生产
192.168.191.126 dcs-api-twn-clientdcs-api-twn-client_电信_生产集群
192.168.191.126 dcs-pnr-jpn-server(未接优维)dcs-pnr-jpn-server_电信_生产集群
192.168.191.102 V8_DCS_SERVER-ICN_2313DCS_SERVER-ICN_2313
192.168.191.101 V8_DCS_SERVER-ICN_2313DCS_SERVER-ICN_2313
192.168.191.102 V8_DCS_SERVER-CTS-2306DCS_SERVER-CTS-2306_电信_生产集群
192.168.191.101 V8_DCS_SERVER-CTS-2306DCS_SERVER-CTS-2306_电信_生产集群
192.168.186.234 hx-security-eureka-serverhx-security-eureka-server_电信_生产集群
192.168.186.233 hx-security-eureka-serverhx-security-eureka-server_电信_生产集群
192.168.191.110 V8_TEXV8_TEX线上集群
192.168.191.105 DCS_MONITORDCS_MONITOR_电信_生产集群(169备不要启动)
192.168.191.169 DCS_MONITORDCS_MONITOR_电信_生产集群(169备不要启动)
192.168.186.104 dcs-pnr-chn-clientdcs-pnr-chn-client_电信_生产集群-备机10.16.38.99不用启动
10.16.38.99 dcs-pnr-chn-clientdcs-pnr-chn-client_电信_生产集群-备机10.16.38.99不用启动
192.168.190.12 v9-预上线v9-预上线_电信_集群
192.168.191.141 dcs-tha-pre-serverdcs-tha-pre-server生成集群
172.17.14.5 security-check-interfacesecurity-check-interface长春生产集群
172.17.69.5 v9-dcs-iapi-client扬州外站集群-手工重启
172.17.69.6 v9-dcs-iapi-client扬州外站集群-手工重启
172.17.51.5 v9-dcs-iapi-client洛阳外站集群-手工重启
172.17.51.6 v9-dcs-iapi-client洛阳外站集群-手工重启
172.17.40.5 v9-dcs-iapi-client淮安外站集群-手工重启
192.168.186.39 v9-dcs-iapi-client澳门外站集群-手工重启
192.168.186.38 v9-dcs-iapi-client澳门外站集群-手工重启
172.17.9.8 v9-dcs-iapi-client石家庄外站集群-手工重启
172.17.9.9 v9-dcs-iapi-client石家庄外站集群-手工重启
172.17.27.5 v9-dcs-iapi-client呼和浩特外站集群-手工重启
172.17.29.5 v9-dcs-iapi-client杭州外站集群-手工重启
172.17.29.7 v9-dcs-iapi-client杭州外站集群-手工重启
192.168.190.45 v9-dcs-iapi-client成田外站集群-手工重启
192.168.190.46 v9-dcs-iapi-client成田外站集群-手工重启
172.17.6.5 v9-dcs-iapi-client沈阳外站集群-手工重启
172.17.6.6 v9-dcs-iapi-client沈阳外站集群-手工重启
172.17.34.5 v9-dcs-iapi-client西安外站集群-手工重启
172.17.34.6 v9-dcs-iapi-client西安外站集群-手工重启
172.17.32.5 v9-dcs-iapi-client北海外站集群-手工重启
172.17.2.5 v9-dcs-iapi-client大连外站集群-手工重启
172.17.2.6 v9-dcs-iapi-client大连外站集群-手工重启
172.17.61.5 v9-dcs-iapi-client兰州外站集群-手工重启
172.17.61.6 v9-dcs-iapi-client兰州外站集群-手工重启
172.17.75.6 v9-dcs-iapi-client郑州外站集群-手工重启
172.17.75.5 v9-dcs-iapi-client郑州外站集群-手工重启
172.17.14.5 v9-dcs-iapi-client长春外站集群-手工重启
172.17.92.8 v9-dcs-iapi-client广州外站集群-手工重启 
172.17.92.9 v9-dcs-iapi-client广州外站集群-手工重启 
172.17.19.8 v9-dcs-iapi-client浦东外站集群-手工重启
172.17.19.9 v9-dcs-iapi-client浦东外站集群-手工重启
172.17.68.5 v9-dcs-iapi-client合肥外站集群-手工重启
172.17.68.6 v9-dcs-iapi-client合肥外站集群-手工重启
172.17.17.5 v9-dcs-iapi-client厦门外站集群-手工重启
172.17.17.6 v9-dcs-iapi-client厦门外站集群-手工重启
192.168.186.177 v9-dcs-iapi-client首尔外站集群-手工重启 
192.168.186.178 v9-dcs-iapi-client首尔外站集群-手工重启 
172.17.49.5 v9-dcs-iapi-client宁波外站集群-手工重启
172.17.49.6 v9-dcs-iapi-client宁波外站集群-手工重启
192.168.186.4 v9-dcs-iapi-client曼谷外站集群-手工重启
192.168.186.5 v9-dcs-iapi-client曼谷外站集群-手工重启
172.17.42.6 v9-dcs-iapi-client武汉外站集群-手工重启
172.17.42.5 v9-dcs-iapi-client武汉外站集群-手工重启
172.17.41.5 v9-dcs-iapi-client南京外站集群-手工重启
172.17.41.6 v9-dcs-iapi-client南京外站集群-手工重启
192.168.187.80 v9-dcs-iapi-client高雄外站集群-手工重启
192.168.187.81 v9-dcs-iapi-client高雄外站集群-手工重启
192.168.187.82 v9-dcs-iapi-client台北外站集群-手工重启 
192.168.187.83 v9-dcs-iapi-client台北外站集群-手工重启 
192.168.187.86 v9-dcs-iapi-client名古屋外站集群-手工重启
192.168.187.87 v9-dcs-iapi-client名古屋外站集群-手工重启
172.17.73.5 v9-dcs-iapi-client揭阳（汕头）外站集群-手工重启
172.17.73.6 v9-dcs-iapi-client揭阳（汕头）外站集群-手工重启
172.17.79.5 v9-dcs-iapi-client济南外站集群-手工重启
172.17.79.6 v9-dcs-iapi-client济南外站集群-手工重启
172.17.54.5 v9-dcs-iapi-client成都外站集群-手工重启
172.17.54.6 v9-dcs-iapi-client成都外站集群-手工重启
172.17.63.5 v9-dcs-iapi-client南昌外站集群-手工重启
172.17.63.6 v9-dcs-iapi-client南昌外站集群-手工重启
172.17.23.5 v9-dcs-iapi-client深圳外站集群-手工重启
172.17.23.6 v9-dcs-iapi-client深圳外站集群-手工重启
192.168.190.47 v9-dcs-iapi-client大阪外站集群-手工重启
192.168.190.48 v9-dcs-iapi-client大阪外站集群-手工重启
172.17.52.5 v9-dcs-iapi-client常州外站集群-手工重启
172.17.52.6 v9-dcs-iapi-client常州外站集群-手工重启
192.168.186.9 v9-dcs-iapi-client济州外站集群-手工重启
192.168.186.10 v9-dcs-iapi-client济州外站集群-手工重启
172.17.7.5 v9-dcs-iapi-client哈尔滨外站集群-手工重启
172.17.7.6 v9-dcs-iapi-client哈尔滨外站集群-手工重启
172.17.11.5 v9-dcs-iapi-client重庆外站集群-手工重启
172.17.11.6 v9-dcs-iapi-client重庆外站集群-手工重启
192.168.186.175 v9-dcs-iapi-client金边外站集群-手工重启
192.168.186.176 v9-dcs-iapi-client金边外站集群-手工重启
172.17.10.5 v9-dcs-iapi-client天津外站集群-手工重启
192.168.187.88 v9-dcs-iapi-client羽田外站集群-手工重启
192.168.187.89 v9-dcs-iapi-client羽田外站集群-手工重启
192.168.186.181 dcs-pnr-sin-serverdcs-pnr-sin-server线上集群（38.101备机不启动）
10.16.38.101 dcs-pnr-sin-serverdcs-pnr-sin-server线上集群（38.101备机不启动）
192.168.191.110 V8_PXY-SITA V8_PXY_SITA集群
192.168.186.189 dcs-hainan-duty-freedcs-hainan-duty-free_电信_生产集群
10.16.21.21 dcs-hainan-duty-freedcs-hainan-duty-free_电信_生产集群
192.168.191.141 dcs-pre-twn-server dcs-pre-twn-server线上集群
192.168.191.212 dcs-iapi-client-site-v8dcs-iapi-client-site-v8_线上生产_集群(注意213备不启动)
192.168.191.213 dcs-iapi-client-site-v8dcs-iapi-client-site-v8_线上生产_集群(注意213备不启动)
172.17.50.9 dcs-iapi-client-site-v8dcs-iapi-client-site-v8_佐贺HSG线上生产_集群(注意10备机不启动)
172.17.50.10 dcs-iapi-client-site-v8dcs-iapi-client-site-v8_佐贺HSG线上生产_集群(注意10备机不启动)
172.17.47.8 dcs-iapi-client-site-v8dcs-iapi-client-site-v8_高松TAK线上生产_集群(注意8备机不启动) 
172.17.47.7 dcs-iapi-client-site-v8dcs-iapi-client-site-v8_高松TAK线上生产_集群(注意8备机不启动) 
172.17.50.9 V8_DCS_SERVER-HSG-2314V8_DCS_SERVER-HSG-2314
172.17.50.10 V8_DCS_SERVER-HSG-2314V8_DCS_SERVER-HSG-2314
172.17.74.6 self-cki-server-zqzself-cki-server-zqz张家口集群-手工重启
172.17.74.5 self-cki-server-zqzself-cki-server-zqz张家口集群-手工重启
172.17.29.5 self-cki-server-hgh-手动重启self-cki-server杭州生产集群
172.17.49.5 self-cki-server-ngb-手动重启self-cki-server-ngb_宁波_生产集群
172.17.49.6 self-cki-server-ngb-手动重启self-cki-server-ngb_宁波_生产集群
172.17.21.5 self-cki-server-cde-手动重启self-cki-server-cde承德线上集群
192.168.191.110 DCSPNR_JPDCSPNR_JP_电信_生产集群
172.17.119.5 self-cki-server-shfself-cki-server石河子生产集群-手动重启
192.168.185.121 dcs_api_v8dcs-api-v8_电信_生产集群
10.15.128.125 dcs_api_v8dcs-api-v8_预上线
172.17.50.9 dcs_api_v8dcs-api-v8_佐贺_生产集群-备机勿起
172.17.50.10 dcs_api_v8dcs-api-v8_佐贺_生产集群-备机勿起
172.17.47.8 dcs_api_v8dcs-api-v8_高松_生产集群-只启动47.7
172.17.47.7 dcs_api_v8dcs-api-v8_高松_生产集群-只启动47.7
192.168.190.124 dcs_ptmdcs-ptm_电信_生产集群
192.168.190.113 activeMQ_日分机组报文activeMQ_日分机组报文_生产集群
192.168.190.184 LG_configcenter_webLG-configcenter-web_电信_生产集群
192.168.190.133 LG_zookeeperLG-zookeeper_电信_生产集群
192.168.190.132 LG_zookeeperLG-zookeeper_电信_生产集群
192.168.190.134 LG_zookeeperLG-zookeeper_电信_生产集群
192.168.190.146 dcs_pdadcs-pda_电信_生产集群
192.168.191.110 dcs_pxy_serverdcs-pxy-server_电信_生产集群(未接优维)
192.168.191.102 V8_DCS_SERVER-AKJ-2307(未接优维)DCS_SERVER-AKJ-2307
192.168.191.101 V8_DCS_SERVER-AKJ-2307(未接优维)DCS_SERVER-AKJ-2307
192.168.191.102 V8_DCS_SERVER-HKG-2303(未接优维)DCS_SERVER-HKG-2303_电信_生产集群
192.168.191.101 V8_DCS_SERVER-HKG-2303(未接优维)DCS_SERVER-HKG-2303_电信_生产集群
192.168.191.212 V8_DCS_SERVER-HKT-2322(未接优维)DCS_SERVER-HKT-2322_电信_生产集群
192.168.191.213 V8_DCS_SERVER-HKT-2322(未接优维)DCS_SERVER-HKT-2322_电信_生产集群
192.168.191.126 dcs-web-supportdcs-web-support_电信_生产集群（205备机，应用不开启）
192.168.190.205 dcs-web-supportdcs-web-support_电信_生产集群（205备机，应用不开启）
192.168.191.112 activeMQ-LGactiveMQ-LG_电信_生产集群
192.168.191.113 activeMQ-LGactiveMQ-LG_电信_生产集群
192.168.191.103 activeMQ-LGactiveMQ-LG_电信_生产集群
172.17.9.5 proxyclientproxyclient_石家庄_生产集群(未接优维)
172.17.9.6 proxyclientproxyclient_石家庄_生产集群(未接优维)
172.17.20.5 ProxyAProxyA_虹桥_生产集群(未接优维)
172.17.20.6 ProxyAProxyA_虹桥_生产集群(未接优维)
172.17.9.5 dcs-kor-pre-clientdcs-kor-pre-client_石家庄_生产集群(未接优维)
172.17.9.6 dcs-kor-pre-clientdcs-kor-pre-client_石家庄_生产集群(未接优维)
172.17.9.5 DCSAPISDCSAPIS_石家庄_生产集群
172.17.9.6 DCSAPISDCSAPIS_石家庄_生产集群
172.17.19.8 dcs-serverdcs-server_浦东_生产集群-手工重启
172.17.19.9 dcs-serverdcs-server_浦东_生产集群-手工重启
172.17.99.5 dcs-serverdcs-server_广元_生产集群-手工重启
172.17.65.5 dcs-serverdcs-server_东营_生产集群-手工重启
172.17.71.5 dcs-serverdcs-server_恩施_生产集群-手工重启
172.17.98.5 dcs-serverdcs-server_威海_生产集群-手工重启
172.17.60.5 dcs-serverdcs-server_盐城_生产集群-手工重启
172.17.60.6 dcs-serverdcs-server_盐城_生产集群-手工重启
172.17.70.5 dcs-serverdcs-server_庆阳_生产集群-手工重启
172.17.8.5 dcs-serverdcs-server_贵阳_生产集群-手工重启
172.17.8.6 dcs-serverdcs-server_贵阳_生产集群-手工重启
172.17.79.5 dcs-serverdcs-server_济南_生产集群-手工重启
172.17.79.6 dcs-serverdcs-server_济南_生产集群-手工重启
172.17.87.5 dcs-serverdcs-server_南阳_生产集群-手工重启
172.17.45.6 dcs-serverdcs-server_西双版纳_生产集群-手工重启
172.17.45.5 dcs-serverdcs-server_西双版纳_生产集群-手工重启
172.17.64.5 dcs-serverdcs-server_太原_生产集群-手工重启
172.17.54.5 dcs-serverdcs-server_成都_生成集群-手工重启
172.17.54.6 dcs-serverdcs-server_成都_生成集群-手工重启
172.17.81.5 dcs-serverdcs-server_温州_生产集群-手工重启
172.17.68.5 dcs-serverdcs-server_合肥_生产集群-手工重启
172.17.68.6 dcs-serverdcs-server_合肥_生产集群-手工重启
172.17.63.5 dcs-serverdcs-server_南昌_生产集群-手工重启
172.17.63.6 dcs-serverdcs-server_南昌_生产集群-手工重启
172.17.104.5 dcs-serverdcs-server_延安_生产集群-手工重启
172.17.104.6 dcs-serverdcs-server_延安_生产集群-手工重启
172.17.20.10 dcs-serverdcs-server_虹桥_生产集群-手工重启
172.17.20.11 dcs-serverdcs-server_虹桥_生产集群-手工重启
172.17.23.5 dcs-serverdcs-server_深圳_生产集群-手工重启
172.17.23.6 dcs-serverdcs-server_深圳_生产集群-手工重启
172.17.24.5 dcs-serverdcs-server_乌鲁木齐_生产集群-手工重启
172.17.52.5 dcs-serverdcs-server_常州_生产集群-手工重启
172.17.52.6 dcs-serverdcs-server_常州_生产集群-手工重启
172.17.106.5 dcs-serverdcs-server_岳阳_生产集群-手工重启 
172.17.106.6 dcs-serverdcs-server_岳阳_生产集群-手工重启 
172.17.108.5 dcs-serverdcs-server_中卫_生产集群-手工重启
172.17.112.5 dcs-serverdcs-server_上饶_生产集群-手工重启
172.17.116.5 dcs-serverdcs-server_漠河_生产集群-手工重启
172.17.107.5 dcs-serverdcs-server_喀什_生产集群-手工重启
172.17.107.6 dcs-serverdcs-server_喀什_生产集群-手工重启
172.17.62.5 dcs-serverdcs-server_张掖_生产集群-手工重启
172.17.120.5 dcs-serverdcs-server_松原_生产集群-手工重启
172.17.85.5 dcs-serverdcs-server_三亚_生产集群-手工重启
172.17.85.6 dcs-serverdcs-server_三亚_生产集群-手工重启
192.168.186.4 dcs-serverdcs-server_曼谷_生产集群-手工重启
192.168.186.5 dcs-serverdcs-server_曼谷_生产集群-手工重启
172.17.123.5 dcs-serverdcs-server_舟山_生产集群-手工重启
192.168.186.9 dcs-serverdcs-server_济州_生产集群-手工重启
192.168.186.10 dcs-serverdcs-server_济州_生产集群-手工重启
192.168.186.175 dcs-serverdcs-server_金边_生产集群-手工重启
192.168.186.176 dcs-serverdcs-server_金边_生产集群-手工重启
172.17.7.5 dcs-serverdcs-server_哈尔滨_生产集群-手工重启
172.17.7.6 dcs-serverdcs-server_哈尔滨_生产集群-手工重启
172.17.11.5 dcs-serverdcs-server_重庆_生产集群-手工重启
172.17.11.6 dcs-serverdcs-server_重庆_生产集群-手工重启
172.17.128.5 dcs-serverdcs-server_潍坊_生产集群-手工重启
172.17.127.5 dcs-serverdcs-server_丽江_生产集群-手工重启
172.17.10.5 dcs-serverdcs-server_天津_生产集群-手工重启
192.168.187.89 dcs-serverdcs-server_羽田_生产集群-手工重启
192.168.187.88 dcs-serverdcs-server_羽田_生产集群-手工重启
172.17.129.5 dcs-serverdcs-server_文山_生产集群-手工重启
172.17.115.5 dcs-serverdcs-server_襄阳_生产集群-手工重启
172.17.74.6 dcs-serverdcs-server_张家口_生产集群-手工重启
172.17.74.5 dcs-serverdcs-server_张家口_生产集群-手工重启
172.17.39.5 dcs-serverdcs-server_长白山_生产集群-手工重启
172.17.58.5 dcs-serverdcs-server_珠海_生产集群-手工重启
172.17.1.5 dcs-serverdcs-server_怀化_生产集群-手工重启
172.17.89.5 dcs-serverdcs-server_安顺_生产集群-手工重启
172.17.15.5 dcs-serverdcs-server_福州_生产集群-手工重启
172.17.57.5 dcs-serverdcs-server_湛江_生产集群-手工重启
172.17.35.5 dcs-serverdcs-server_包头_生产集群-手工重启
172.17.40.5 dcs-serverdcs-server_淮安_生产集群-手工重启
172.17.91.5 dcs-serverdcs-server_邵阳_生产集群-手工重启
172.17.103.6 dcs-serverdcs-server_青岛_生产集群-手工重启
172.17.103.5 dcs-serverdcs-server_青岛_生产集群-手工重启
192.168.186.39 dcs-serverdcs-server_澳门_生产集群-手工重启
192.168.186.38 dcs-serverdcs-server_澳门_生产集群-手工重启
172.17.9.8 dcs-serverdcs-server_石家庄_生产集群-手工重启
172.17.9.9 dcs-serverdcs-server_石家庄_生产集群-手工重启
172.17.105.5 dcs-serverdcs-server_阜阳_生产集群-手工重启
172.17.109.5 dcs-serverdcs-server_临沂_生产集群-手工重启
172.17.37.5 dcs-serverdcs-server_遵义_生产集群-手工重启
172.17.110.5 dcs-serverdcs-server_茅台_生产集群-手工重启
172.17.27.5 dcs-serverdcs-server_呼和浩特_生产集群-手工重启
192.168.190.30 dcs-serverdcs-server联程值机中心_生产集群-手工重启
172.17.113.5 dcs-serverdcs-server_克拉玛依_生产集群-手工重启
172.17.113.6 dcs-serverdcs-server_克拉玛依_生产集群-手工重启
172.17.96.6 dcs-serverdcs-server_井冈山_生产集群-手工重启
172.17.96.5 dcs-serverdcs-server_井冈山_生产集群-手工重启
172.17.118.5 dcs-serverdcs-server_日照_生产集群-手工重启
172.17.121.5 dcs-serverdcs-server_嘉峪关_生产集群-手工重启
172.17.29.5 dcs-serverdcs-server_杭州_生产集群-手工重启
172.17.29.7 dcs-serverdcs-server_杭州_生产集群-手工重启
192.168.190.47 dcs-serverdcs-server_大阪_生产集群-手工重启
192.168.190.48 dcs-serverdcs-server_大阪_生产集群-手工重启
192.168.190.45 dcs-serverdcs-server_成田_生产集群-手工重启
192.168.190.46 dcs-serverdcs-server_成田_生产集群-手工重启
172.17.34.5 dcs-serverdcs-server_西安_生产集群-手工重启
172.17.34.6 dcs-serverdcs-server_西安_生产集群-手工重启
172.17.2.5 dcs-serverdcs-server_大连_生产集群-手工重启
172.17.2.6 dcs-serverdcs-server_大连_生产集群-手工重启
172.17.61.5 dcs-serverdcs-server_兰州_生产集群-手工重启
172.17.61.6 dcs-serverdcs-server_兰州_生产集群-手工重启
172.17.124.5 dcs-serverdcs-server_三明_生产集群-手工重启
172.17.59.5 dcs-serverdcs-server_柳州_生产集群-手工重启
172.17.59.6 dcs-serverdcs-server_柳州_生产集群-手工重启
172.17.90.5 dcs-serverdcs-server_敦煌_生产集群-手工重启
172.17.69.5 dcs-serverdcs-server_扬州_生产集群-手工重启
172.17.69.6 dcs-serverdcs-server_扬州_生产集群-手工重启
172.17.72.5 dcs-serverdcs-server_常德_生产集群-手工重启
172.17.73.5 dcs-serverdcs-server_揭阳汕头_生产集群-手工重启
172.17.73.6 dcs-serverdcs-server_揭阳汕头_生产集群-手工重启
172.17.36.5 dcs-serverdcs-server_银川_生产集群-手工重启
172.17.51.6 dcs-serverdcs-server_洛阳_生产集群-手工重启
172.17.51.5 dcs-serverdcs-server_洛阳_生产集群-手工重启
172.17.76.5 dcs-serverdcs-server_武当山_生产集群-手工重启
172.17.13.5 dcs-serverdcs-server_桂林_生产集群-手工重启
172.17.92.9 dcs-serverdcs-server_广州_生产集群-手工重启
172.17.92.8 dcs-serverdcs-server_广州_生产集群-手工重启
172.17.53.5 dcs-serverdcs-server_南通_生产集群-手工重启
172.17.53.6 dcs-serverdcs-server_南通_生产集群-手工重启
172.17.26.5 dcs-serverdcs-server_泉州_生产集群-手工重启
172.17.26.6 dcs-serverdcs-server_泉州_生产集群-手工重启
172.17.17.5 dcs-serverdcs-server_厦门_生产集群-手工重启
172.17.17.6 dcs-serverdcs-server_厦门_生产集群-手工重启
172.17.48.5 dcs-serverdcs-server_黔江_生产集群-手工重启
172.17.83.5 dcs-serverdcs-server_连云港_生产集群-手工重启
172.17.33.5 dcs-serverdcs-server_南宁_生产集群-手工重启
172.17.33.6 dcs-serverdcs-server_南宁_生产集群-手工重启
172.17.5.5 dcs-serverdcs-server_老v4青岛_生产集群-手工重启
172.17.77.5 dcs-serverdcs-server_长沙_生产集群-手工重启
172.17.111.5 dcs-serverdcs-server_宜宾_生产集群-手工重启
172.17.25.5 dcs-serverdcs-server_绵阳_生产集群-手工重启
192.168.186.177 dcs-serverdcs-server_首尔_生产集群-手工重启
192.168.186.178 dcs-serverdcs-server_首尔_生产集群-手工重启
172.17.22.5 dcs-serverdcs-server_张家界_生产集群-手工重启
172.17.114.5 dcs-serverdcs-server_宜昌_生产集群-手工重启
172.17.101.5 dcs-serverdcs-server_烟台_生产集群-手工重启
172.17.117.5 dcs-serverdcs-server_榆林_生产集群-手工重启
172.17.119.5 dcs-serverdcs-server_石河子_生产集群-手工重启
172.17.55.5 dcs-serverdcs-server_满洲里_生产集群-手工重启
172.17.122.5 dcs-serverdcs-server_南充_生产集群-手工重启
172.17.43.5 dcs-serverdcs-server_通辽_生产集群-手工重启
172.17.43.6 dcs-serverdcs-server_通辽_生产集群-手工重启
172.17.49.5 dcs-serverdcs-server_宁波_生产集群-手工重启
172.17.49.6 dcs-serverdcs-server_宁波_生产集群-手工重启
172.17.42.6 dcs-serverdcs-server_武汉_生产集群-手工重启
172.17.42.5 dcs-serverdcs-server_武汉_生产集群-手工重启
172.17.21.5 dcs-serverdcs-server_承德_生产集群-手工重启 
172.17.6.5 dcs-serverdcs-server_沈阳_生产集群-手工重启
172.17.6.6 dcs-serverdcs-server_沈阳_生产集群-手工重启
172.17.12.5 dcs-serverdcs-server_昆明_生产集群-手工重启
172.17.12.6 dcs-serverdcs-server_昆明_生产集群-手工重启
172.17.32.5 dcs-serverdcs-server_北海_生产集群-手工重启
172.17.82.5 dcs-serverdcs-server_邯郸_生产集群-手工重启
172.17.41.6 dcs-serverdcs-server_南京_生产集群-手工重启
172.17.41.5 dcs-serverdcs-server_南京_生产集群-手工重启
172.17.75.6 dcs-serverdcs-server_郑州_生产集群-手工重启 
172.17.75.5 dcs-serverdcs-server_郑州_生产集群-手工重启 
172.17.125.5 dcs-serverdcs-server_赣州_生产集群-手工重启
172.17.126.5 dcs-serverdcs-server_琼海_生产集群-手工重启 
192.168.187.80 dcs-serverdcs-server_高雄_生产集群-手工重启
192.168.187.81 dcs-serverdcs-server_高雄_生产集群-手工重启
172.17.14.5 dcs-serverdcs-server_长春_生产集群-手工重启
192.168.187.82 dcs-serverdcs-server_台北_生产集群-手工重启
192.168.187.83 dcs-serverdcs-server_台北_生产集群-手工重启
192.168.187.86 dcs-serverdcs-server_名古屋_生产集群-手工重启
192.168.187.87 dcs-serverdcs-server_名古屋_生产集群-手工重启
172.17.9.5 DCSInterfaceDCSInterface_石家庄_生产集群
172.17.9.6 DCSInterfaceDCSInterface_石家庄_生产集群
192.168.190.6 V8_DCS_SERVER_BKK_2316V8_DCS_SERVER_BKK_2316_电信_生产集群（190.7备机勿启动）
192.168.190.7 V8_DCS_SERVER_BKK_2316V8_DCS_SERVER_BKK_2316_电信_生产集群（190.7备机勿启动）
192.168.190.10 dcs_abnormal_baggagedcs_abnormal_baggage电信
192.168.186.231 hx-security-serverhx-security-server_电信_生产集群
192.168.186.234 hx-security-serverhx-security-server_电信_生产集群
192.168.191.126 dcs-pnr-kor-serverdcs-pnr-kor-server_电信_生产集群
192.168.191.126 dcs-pnm-clientdcs-pnm-client_电信_生产集群
192.168.191.126 dcs-cust-serverdcs-cust-server_电信_生产集群
192.168.191.126 dcs-api-vnm-clientdcs-api-vnm-client_电信_生产集群
192.168.191.126 dcs-api-vnm-serverdcs-api-vnm-server_电信_生产集群
172.17.25.5 haproxy-ptmhaproxy-ptm_绵阳 _生产环境
172.17.14.5 haproxy-ptmhaproxy-ptm_长春 _生产环境
172.17.89.5 haproxy-ptmhaproxy-ptm_安顺 _生产环境
172.17.79.6 haproxy-ptmhaproxy-ptm_济南 _生产环境 
172.17.21.5 haproxy-ptmhaproxy-ptm_承德 _生产环境
192.168.191.110 V8_DCS_SERVER-NGO-2319(未接优维)DCS_SERVER-NGO-2319_电信_生产集群
192.168.191.111 V8_DCS_SERVER-NGO-2319(未接优维)DCS_SERVER-NGO-2319_电信_生产集群
192.168.186.167 V8_DCS_SERVER-NGO-2319DCS_SERVER-NGO-2319(168备机勿启)新上线集群
192.168.186.168 V8_DCS_SERVER-NGO-2319DCS_SERVER-NGO-2319(168备机勿启)新上线集群
192.168.191.102 LGceshi-2300(未接优维)LGceshi-2300_电信_生产集群
192.168.191.101 LGceshi-2300(未接优维)LGceshi-2300_电信_生产集群
172.17.20.7 in-out-message-clientin-out-message-client_虹桥_生产集群
172.17.20.9 in-out-message-clientin-out-message-client_虹桥_生产集群
172.17.8.5 hx-security-clienthx-security-client_贵阳_生产集群
172.17.8.6 hx-security-clienthx-security-client_贵阳_生产集群
172.17.63.5 hx-security-clienthx-security-client_南昌_生产集群
172.17.63.6 hx-security-clienthx-security-client_南昌_生产集群
172.17.81.5 hx-security-clienthx-security-client_温州_生产集群
172.17.26.5 hx-security-clienthx-security-client_泉州_生产集群
172.17.26.6 hx-security-clienthx-security-client_泉州_生产集群
172.17.14.6 security-show-bagsecurity-show-bag_长春外站_生产集群
172.17.14.5 security-show-bagsecurity-show-bag_长春外站_生产集群
172.17.69.5 security-show-bagsecurity-show-bag_扬州外站_生产集群
172.17.69.6 security-show-bagsecurity-show-bag_扬州外站_生产集群
192.168.191.110 DCS_ONWARD电信191.110
192.168.186.95 dcs-iapi-server-centerdcs-iapi-server-center_电信_生产集群-手工重启
192.168.186.96 dcs-iapi-server-centerdcs-iapi-server-center_电信_生产集群-手工重启
172.17.54.5 dcs-put-in-messagedcs-put-in-message_成都_生产集群
172.17.54.6 dcs-put-in-messagedcs-put-in-message_成都_生产集群
172.17.73.5 V9汕头安检_SAF_SWA汕头V9安检_SAF_SWA
192.168.186.235 dcs-pnr-chn-serverdcs-pnr-chn-server_电信_生产集群-手工重启
192.168.185.120 dcs_yangzhoudcs_yangzhou_电信_生产集群
172.17.23.5 security-interface-szxsecurity-interface-szx_深圳_生产集群
172.17.23.6 security-interface-szxsecurity-interface-szx_深圳_生产集群
192.168.186.182 dcs-pnr-sin-clientdcs-pnr-sin-client线上集群(38.102备机不启动)
10.16.38.102 dcs-pnr-sin-clientdcs-pnr-sin-client线上集群(38.102备机不启动)
172.17.92.9 self-cki-canV9-self-cki-can-广州_生产集群(手动重启)
172.17.92.8 self-cki-canV9-self-cki-can-广州_生产集群(手动重启)
192.168.191.126 dcs-api-sin-clientdcs-api-sin-client生产集群
192.168.186.34 dcs-msp-v9apidcs-msp-v9api__线上__集群（186.35备机-勿起程序！！！）
192.168.186.35 dcs-msp-v9apidcs-msp-v9api__线上__集群（186.35备机-勿起程序！！！）
172.17.20.7 self-cki-server-v9self-cki-server-v9虹桥线上集群
172.17.23.5 self-cki-server-szxself-cki-server-szx_深圳_生产集群-手工重启
172.17.23.6 self-cki-server-szxself-cki-server-szx_深圳_生产集群-手工重启
172.17.37.5 self-cki-server-zyi-手动重启self-cki-server-zyi遵义线上集群
172.17.19.8 self-cki-server-pvgself-cki-server-pvg_v9自助线上集群-手工重启
